anfitrión/a,tiempo_respuesta,es_superhost,ciudad,pais,latitud,longitud,tipo_propiedad,capacidad,puntaje_promedio_comunicación,puntaje_promedio_localización,servicio_tv_cable,servicio_aire_acondicionado
133371876,dentro de un día,0,Mexico City,Mexico,19.41343,-99.10108,apartamento completo,4,10,10,1,0
51137393,dentro de algunas horas,0,Rio de Janeiro,Brazil,-22.9413,-43.19827,apartamento completo,4,10,10,1,1
240444339,dentro de una hora,1,Mexico City,Mexico,19.43622,-99.17073,estudio completo,2,10,10,1,0
1902404,dentro de una hora,0,Istanbul,Turkey,41.04248,28.98323,apartamento completo,5,9,8,1,1
247768510,dentro de algunas horas,0,Paris,France,48.86899,2.33104,apartamento completo,6,10,10,0,1
24681696,dentro de una hora,1,Rome,Italy,41.87568,12.47975,apartamento completo,4,10,10,0,1
76013475,dentro de una hora,1,Rome,Italy,41.89048,12.46732,estudio completo,2,10,10,0,1
20579088,dentro de una hora,0,Istanbul,Turkey,41.05059,28.99714,apartamento completo,4,10,10,0,0
154629695,dentro de una hora,1,New York,United States,40.75811,-73.90989,pieza privada en departamento,2,10,10,1,1
341620163,dentro de algunas horas,0,Mexico City,Mexico,19.35621,-99.18256,casa completa,5,10,8,0,0
221110094,dentro de una hora,0,Hong Kong,China,22.29744,114.17338,pieza privada en departamento,1,9,10,0,1
5307709,dentro de algunas horas,0,Mexico City,Mexico,19.34377,-99.19288,casa completa,6,10,10,0,0
27096900,dentro de una hora,0,Rio de Janeiro,Brazil,-22.98139,-43.22422,apartamento completo,5,10,10,0,1
65376253,dentro de una hora,0,Rome,Italy,41.89547,12.47136,apartamento completo,4,10,10,1,1
108631619,dentro de una hora,1,Rio de Janeiro,Brazil,-22.96236,-43.17016,apartamento completo,4,10,10,1,0
72704833,dentro de un día,1,Mexico City,Mexico,19.42909,-99.16196,condominio completo,3,10,10,1,1
25008474,dentro de un día,0,New York,United States,40.65263,-73.95561,pieza privada en departamento,2,10,8,0,1
140230116,dentro de una hora,0,Hong Kong,China,22.31828,114.17443,condominio completo,8,9,9,0,1
2119105,dentro de una hora,0,Rio de Janeiro,Brazil,-22.91659,-43.22434,apartamento completo,6,10,10,0,1
324196723,dentro de una hora,1,Bangkok,Thailand,13.74122,100.58019,apartamento completo,4,9,9,0,1
91932622,dentro de una hora,0,Sydney,Australia,-33.79633,151.28642,apartamento completo,4,10,10,0,1
1526138,dentro de una hora,0,Sydney,Australia,-33.79871,151.28078,apartamento completo,3,10,10,0,0
1329045,dentro de algunas horas,1,Rome,Italy,41.87472,12.48073,apartamento completo,2,10,10,1,1
3351317,dentro de algunas horas,0,New York,United States,40.73961,-73.98128,apartamento completo,2,10,10,1,1
297512659,dentro de una hora,0,Sydney,Australia,-33.82493,151.19827,apartamento completo,3,10,10,0,1
